Year;Age;Team Value;transfer_expense;transfer_receive;same_number_of_players_percantage;"
domestic_balance";Forward_value;Goalkeper_value;last_year_champion;is_in_europe;comes_from_bottom;is_coach_champion;coach_age;is_coach_turkish;points_per_game
2008;25;43.7;2.5;1.1;0.358974359;0.77;4.5;1.8;0;0;0;0;47;1;1.21
2008;23.2;28.2;0.1;0.4;0.305555556;0.78;1.5;1;0;0;1;0;45;1;1.18
2008;26.7;39.95;0.975;0;0.411764706;0.79;4.5;2.5;0;0;1;0;43;1;1.12
2008;24.4;37.3;0.375;0.85;0.547619048;0.71;2.4;1.5;0;0;0;0;51;1;1.12
2008;25.7;37;2.35;0;0.382352941;0.62;1.9;1.3;0;0;0;0;42;1;1.06
2008;24.3;35.85;0.75;5.4;0.463414634;0.71;2.7;1;0;0;0;0;43;1;1.03
2008;24.7;45.95;0.8;6;0.472222222;0.69;2.5;2;0;0;0;0;49;1;0.85
2008;25;29.35;0.3;1.17;0.292682927;0.8;1.3;1.6;0;0;0;0;52;1;0.85
2008;26.2;22.15;0.45;0;0.378378378;0.76;1.2;0.9;0;0;1;0;43;1;0.85
2009;26.3;83.55;16.55;0.85;0.464285714;0.57;7;1.5;0;0;0;0;38;1;2.09
2009;26.1;36.7;0.1;0;0.542857143;0.71;5;2;0;0;0;0;36;1;1.95
2009;24.5;57;21.23;1.25;0.423076923;0.69;4.5;4;0;0;0;0;46;1;1.9
2009;25.3;106.75;20.5;0;0.722222222;0.72;12;5.5;0;1;0;1;69;0;1.8
2009;25.5;119.6;12;6.15;0.606060606;0.76;8;5.5;1;1;0;0;42;0;1.8
2009;25.3;29.5;0.13;1.75;0.243243243;0.675675676;1.5;1.8;0;0;0;0;52;1;1.705882353
2009;24.7;33.5;1.38;6.2;0.5;0.7;1.7;1.3;0;0;0;0;40;1;1.470588235
2009;24.7;26.3;0.6;1;0.46875;0.78125;2.2;0.8;0;0;0;0;42;1;1.382352941
2009;25.9;24.9;0.6;0.1;0.612903226;0.774193548;1.5;2;0;0;0;0;44;1;1.235294118
2009;24.6;35.38;1.12;0;0.484848485;0.666666667;2.8;2;0;0;0;0;43;1;1.205882353
2009;25.5;24.7;1.68;0;0.277777778;0.75;1.7;1.2;0;0;1;0;45;1;1.176470588
2009;26.2;20.75;0;0;0.428571429;0.742857143;1.2;1;0;0;1;0;48;1;1.176470588
2009;25.8;29.95;0;1;0.325;0.825;2.4;1.5;0;0;0;0;36;1;1.147058824
2009;24.4;27.3;1.9;0.4;0.351351351;0.72972973;1.2;1;0;0;0;0;52;1;1.117647059
2009;25.2;21.8;1.25;0;0.4;0.657142857;1.5;1.5;0;0;0;0;44;1;1.117647059
2009;26.9;26.9;0.8;0;0.257142857;0.742857143;1.2;0.9;0;0;0;0;50;1;1.117647059
